term	comparison	estimate	conf.low	conf.high	adj.p.value
supplement_consumed	Arabino-Accessible	7.404000000000044	-12.526817222341533	27.33481722234162	0.99
supplement_consumed	BRMPS-Accessible	6.957687500000047	-7.047168920381557	20.96254392038165	0.9
supplement_consumed	BRMPS+Accessible-Accessible	3.5667500000000687	-17.80667032579116	24.9401703257913	1
supplement_consumed	HiMaize-Accessible	-0.27449999999996755	-16.94981806609008	16.400818066090146	1
supplement_consumed	HiMaize+BRMPS-Accessible	2.8949047619047943	-16.74912316016948	22.538932683979066	1
supplement_consumed	Inulin-Accessible	3.0507777777778164	-13.222666339359517	19.32422189491515	1
supplement_consumed	LOODAT-Accessible	6.436750000000032	-14.936670325791198	27.810170325791262	1
supplement_consumed	none-Accessible	6.770272727272777	-12.609355145981676	26.149900600527232	0.99
supplement_consumed	Psyllium-Accessible	-6.86899999999995	-28.70211636437783	14.96411636437793	1
supplement_consumed	Psyllium+BRMPS-Accessible	2.421000000000034	-19.412116364377844	24.254116364377914	1
supplement_consumed	transition_HiMaize-Accessible	6.114851851851867	-12.20030523226518	24.430008935968914	0.99
supplement_consumed	BRMPS-Arabino	-0.44631249999999767	-17.047020267609827	16.154395267609832	1
supplement_consumed	BRMPS+Accessible-Arabino	-3.837249999999976	-26.994766953529847	19.320266953529895	1
supplement_consumed	HiMaize-Arabino	-7.678500000000012	-26.586533415333	11.229533415332975	0.97
supplement_consumed	HiMaize+BRMPS-Arabino	-4.5090952380952505	-26.08072772229336	17.062537246102863	1
supplement_consumed	Inulin-Arabino	-4.353222222222228	-22.907803286306354	14.201358841861897	1
supplement_consumed	LOODAT-Arabino	-0.9672500000000133	-24.124766953529885	22.190266953529857	1
supplement_consumed	none-Arabino	-0.6337272727272678	-21.964865815615653	20.69741127016112	1
supplement_consumed	Psyllium-Arabino	-14.272999999999994	-37.855460965949725	9.309460965949734	0.7
supplement_consumed	Psyllium+BRMPS-Arabino	-4.98300000000001	-28.56546096594974	18.599460965949717	1
supplement_consumed	transition_HiMaize-Arabino	-1.2891481481481772	-21.658057643895866	19.079761347599508	1
supplement_consumed	BRMPS+Accessible-BRMPS	-3.3909374999999784	-21.69856213177948	14.916687131779522	1
supplement_consumed	HiMaize-BRMPS	-7.232187500000014	-19.7386760495676	5.274301049567571	0.76
supplement_consumed	HiMaize+BRMPS-BRMPS	-4.062782738095253	-20.318054382654978	12.19248890646447	1
supplement_consumed	Inulin-BRMPS	-3.90690972222223	-15.872318476994693	8.058499032550234	1
supplement_consumed	LOODAT-BRMPS	-0.5209375000000156	-18.828562131779517	17.786687131779484	1
supplement_consumed	none-BRMPS	-0.18741477272727014	-16.122156682812125	15.747327137357587	1
